"Modul";"Tabelle";"Feldinhalt";"Feld";"Typ";"Art des Feldes";"Formel";"Tab";"Kategorie";"Status"
"objekte";"ObjZustand";"Endenergiebedarf";"endenergiebedarf";"Float(13,2)";"DATA_TYPE_ENERGY_REQUIRED";"";"details";"Zustand";"Aktiv"
"objekte";"ObjTech";"erstellt am";"erstellt_am";"Date";"";"";"grunddaten";"Technische-Angaben";"Aktiv"
"objekte";"ObjPreise";"fiktiver Preis";"virtualPrice";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjVerwaltung";"Objekt geprüft";"estateVerifiedDate";"Date";"";"";"details";"Verwaltung";"Inaktiv"
"adressen";"adressen";"Veröffentlichen";"homepage_veroeffentlichen";"TINYINT(1)";"";"";"grunddaten";"Verwaltung";"Inaktiv"
"adressen";"adressen";"Letztes Telefonat des Betreuers";"letztesTelefonatBetreuer";"Date";"";"";"grunddaten";"Verwaltung";"Inaktiv"
"adressen";"adressen";"Letzter Termin des Betreuers";"letzterTerminBetreuer";"Date";"";"";"grunddaten";"Verwaltung";"Inaktiv"
"objekte";"ObjKategorie";"Kategorie RE/MAX";"category_remax";"VARCHAR(20)";"";"";"grunddaten";"Kategorie";"Inaktiv"
"objekte";"ObjTech";"Über Mpay24 bezahlt";"webPaymentPayed";"TINYINT(1)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"adressen";"adressen";"Plz";"Plz";"varchar(20)";"";"";"grunddaten";"Stammdaten";"Inaktiv"
"adressen";"adressen";"Letztes Telefonat";"letztesTelefonat";"Date";"";"";"grunddaten";"Kontakt";"Inaktiv"
"objekte";"ObjPreise";"Ust. -Satz BK";"ust_satz_bk";"Decimal(13,2)";"";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Warmwasser Brutto";"warmwasser_brutto";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Ust. -Satz WW";"ust_satz_warmwasser";"Decimal(13,2)";"";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Ust. -Satz Heizkosten";"ust_satz_heizkosten";"Decimal(13,2)";"";"";"preise_flaechen";"Preise";"Inaktiv"
